implementation,run,warmup,compile_microseconds,application_microseconds,profile_file
polyhok,9,0,13136845,723224270,/workspace/reports/performance_20260705_175907/polyhok/profile_9.csv
polyhok,10,0,13360536,715323790,/workspace/reports/performance_20260705_175907/polyhok/profile_10.csv
polyhok,11,0,13412557,708769193,/workspace/reports/performance_20260705_175907/polyhok/profile_11.csv
polyhok,12,0,13248139,706744746,/workspace/reports/performance_20260705_175907/polyhok/profile_12.csv
polyhok,13,0,13185962,720242414,/workspace/reports/performance_20260705_175907/polyhok/profile_13.csv
polyhok,14,0,13620200,721855865,/workspace/reports/performance_20260705_175907/polyhok/profile_14.csv
polyhok,15,0,13613036,720031790,/workspace/reports/performance_20260705_175907/polyhok/profile_15.csv
polyhok,16,0,13337637,717069779,/workspace/reports/performance_20260705_175907/polyhok/profile_16.csv
polyhok,17,0,13474457,710963944,/workspace/reports/performance_20260705_175907/polyhok/profile_17.csv
polyhok,18,0,13268403,720547185,/workspace/reports/performance_20260705_175907/polyhok/profile_18.csv
polyhok,19,0,13395514,717636536,/workspace/reports/performance_20260705_175907/polyhok/profile_19.csv
polyhok,20,0,13305836,720577101,/workspace/reports/performance_20260705_175907/polyhok/profile_20.csv
polyhok,21,0,13233809,717882283,/workspace/reports/performance_20260705_175907/polyhok/profile_21.csv
polyhok,22,0,13420466,710226312,/workspace/reports/performance_20260705_175907/polyhok/profile_22.csv
polyhok,23,0,13249598,716502216,/workspace/reports/performance_20260705_175907/polyhok/profile_23.csv
polyhok,24,0,13085310,719470638,/workspace/reports/performance_20260705_175907/polyhok/profile_24.csv
polyhok,25,0,13466331,716625268,/workspace/reports/performance_20260705_175907/polyhok/profile_25.csv
polyhok,26,0,13327922,718604245,/workspace/reports/performance_20260705_175907/polyhok/profile_26.csv
polyhok,27,0,12907573,720851354,/workspace/reports/performance_20260705_175907/polyhok/profile_27.csv
polyhok,28,0,13255062,717586840,/workspace/reports/performance_20260705_175907/polyhok/profile_28.csv
polyhok,29,0,13167085,716164313,/workspace/reports/performance_20260705_175907/polyhok/profile_29.csv
polyhok,30,0,13377582,712211161,/workspace/reports/performance_20260705_175907/polyhok/profile_30.csv
polyhok,31,0,13418127,720121532,/workspace/reports/performance_20260705_175907/polyhok/profile_31.csv
polyhok,32,0,13248531,717574993,/workspace/reports/performance_20260705_175907/polyhok/profile_32.csv
polyhok,33,0,13045178,721184037,/workspace/reports/performance_20260705_175907/polyhok/profile_33.csv
polyhok,34,0,13372631,721975552,/workspace/reports/performance_20260705_175907/polyhok/profile_34.csv
polyhok,35,0,13277516,721958552,/workspace/reports/performance_20260705_175907/polyhok/profile_35.csv
polyhok,36,0,13515145,720762712,/workspace/reports/performance_20260705_175907/polyhok/profile_36.csv
polyhok,37,0,13289579,709136602,/workspace/reports/performance_20260705_175907/polyhok/profile_37.csv
polyhok,38,0,13292376,722858619,/workspace/reports/performance_20260705_175907/polyhok/profile_38.csv
polyhok,39,0,13441461,721621638,/workspace/reports/performance_20260705_175907/polyhok/profile_39.csv
polyhok,40,0,14031792,710625810,/workspace/reports/performance_20260705_175907/polyhok/profile_40.csv
polyhok,41,0,13228134,724832786,/workspace/reports/performance_20260705_175907/polyhok/profile_41.csv
polyhok,42,0,13306854,725244163,/workspace/reports/performance_20260705_175907/polyhok/profile_42.csv
polyhok,43,0,13043928,725464098,/workspace/reports/performance_20260705_175907/polyhok/profile_43.csv
polyhok,44,0,13241062,709984612,/workspace/reports/performance_20260705_175907/polyhok/profile_44.csv
polyhok,45,0,13193866,727093844,/workspace/reports/performance_20260705_175907/polyhok/profile_45.csv
polyhok,46,0,13835080,725631807,/workspace/reports/performance_20260705_175907/polyhok/profile_46.csv
polyhok,47,0,13344569,712694142,/workspace/reports/performance_20260705_175907/polyhok/profile_47.csv
polyhok,48,0,13516403,719044963,/workspace/reports/performance_20260705_175907/polyhok/profile_48.csv
polyhok,49,0,13323170,709900960,/workspace/reports/performance_20260705_175907/polyhok/profile_49.csv
polyhok,50,0,13208811,712653766,/workspace/reports/performance_20260705_175907/polyhok/profile_50.csv
polyhok,51,0,13056743,710547782,/workspace/reports/performance_20260705_175907/polyhok/profile_51.csv
polyhok,52,0,13043909,709256054,/workspace/reports/performance_20260705_175907/polyhok/profile_52.csv
polyhok,53,0,13031526,707927168,/workspace/reports/performance_20260705_175907/polyhok/profile_53.csv
polyhok,54,0,13459061,718577322,/workspace/reports/performance_20260705_175907/polyhok/profile_54.csv
polyhok,55,0,13244264,717322603,/workspace/reports/performance_20260705_175907/polyhok/profile_55.csv
polyhok,56,0,13255586,721553100,/workspace/reports/performance_20260705_175907/polyhok/profile_56.csv
polyhok,57,0,14263511,709845479,/workspace/reports/performance_20260705_175907/polyhok/profile_57.csv
polyhok,58,0,13186211,711522290,/workspace/reports/performance_20260705_175907/polyhok/profile_58.csv
polyhok,59,0,20885021,719421167,/workspace/reports/performance_20260705_175907/polyhok/profile_59.csv
polyhok,60,0,20510821,710910878,/workspace/reports/performance_20260705_175907/polyhok/profile_60.csv
polyhok,61,0,18737156,722853862,/workspace/reports/performance_20260705_175907/polyhok/profile_61.csv
polyhok,62,0,17942288,712876471,/workspace/reports/performance_20260705_175907/polyhok/profile_62.csv
polyhok,63,0,13174117,717278753,/workspace/reports/performance_20260705_175907/polyhok/profile_63.csv
polyhok,64,0,13229360,727038627,/workspace/reports/performance_20260705_175907/polyhok/profile_64.csv
polyhok,65,0,13337768,716968443,/workspace/reports/performance_20260705_175907/polyhok/profile_65.csv
polyhok,66,0,13421163,721004074,/workspace/reports/performance_20260705_175907/polyhok/profile_66.csv
polyhok,67,0,12994378,726476968,/workspace/reports/performance_20260705_175907/polyhok/profile_67.csv
polyhok,68,0,19070847,721170550,/workspace/reports/performance_20260705_175907/polyhok/profile_68.csv
polyhok,69,0,24432509,719092396,/workspace/reports/performance_20260705_175907/polyhok/profile_69.csv
polyhok,70,0,28301890,711022829,/workspace/reports/performance_20260705_175907/polyhok/profile_70.csv
polyhok,71,0,35505754,718104858,/workspace/reports/performance_20260705_175907/polyhok/profile_71.csv
polyhok,72,0,15092465,720537536,/workspace/reports/performance_20260705_175907/polyhok/profile_72.csv
polyhok,73,0,15194005,712081307,/workspace/reports/performance_20260705_175907/polyhok/profile_73.csv
polyhok,74,0,15716332,711345416,/workspace/reports/performance_20260705_175907/polyhok/profile_74.csv
