implementation,run,warmup,metric,milliseconds
cuda,22,0,cpu_gpu_transfer,25321.897000000
cuda,22,0,gpu_cpu_transfer,75.383000000
cuda,22,0,gpu_compute,628587.416000000
cuda,22,0,application_total,667020.241000000
cuda,23,0,compilation,8451.144000000
cuda,23,0,model_setup,322.348000000
cuda,23,0,batch_loading,42228.284000000
cuda,23,0,training_total,652344.908000000
cuda,23,0,epoch_average,6523.449080000
cuda,23,0,batch_average,24.197850483
cuda,23,0,prediction_total,2171.371000000
cuda,23,0,cpu_gpu_transfer,20423.667000000
cuda,23,0,gpu_cpu_transfer,71.124000000
cuda,23,0,gpu_compute,630120.239000000
cuda,23,0,application_total,663001.907000000
cuda,24,0,compilation,8437.115000000
cuda,24,0,model_setup,336.706000000
cuda,24,0,batch_loading,47661.475000000
cuda,24,0,training_total,653633.559000000
cuda,24,0,epoch_average,6536.335590000
cuda,24,0,batch_average,24.234612639
cuda,24,0,prediction_total,2237.515000000
cuda,24,0,cpu_gpu_transfer,21672.494000000
cuda,24,0,gpu_cpu_transfer,103.304000000
cuda,24,0,gpu_compute,629454.764000000
cuda,24,0,application_total,664164.087000000
cuda,25,0,compilation,8613.423000000
cuda,25,0,model_setup,334.385000000
cuda,25,0,batch_loading,47889.629000000
cuda,25,0,training_total,654279.317000000
cuda,25,0,epoch_average,6542.793170000
cuda,25,0,batch_average,24.256471822
cuda,25,0,prediction_total,2182.297000000
cuda,25,0,cpu_gpu_transfer,22567.039000000
cuda,25,0,gpu_cpu_transfer,100.255000000
cuda,25,0,gpu_compute,629094.976000000
cuda,25,0,application_total,664752.871000000
cuda,26,0,compilation,8354.856000000
cuda,26,0,model_setup,363.607000000
cuda,26,0,batch_loading,47430.800000000
cuda,26,0,training_total,653212.543000000
cuda,26,0,epoch_average,6532.125430000
cuda,26,0,batch_average,24.217430632
cuda,26,0,prediction_total,2172.722000000
cuda,26,0,cpu_gpu_transfer,21469.070000000
cuda,26,0,gpu_cpu_transfer,101.383000000
cuda,26,0,gpu_compute,629197.415000000
cuda,26,0,application_total,663384.481000000
cuda,27,0,compilation,8442.190000000
cuda,27,0,model_setup,322.749000000
cuda,27,0,batch_loading,47959.172000000
cuda,27,0,training_total,653271.702000000
cuda,27,0,epoch_average,6532.717020000
cuda,27,0,batch_average,24.219045725
cuda,27,0,prediction_total,2211.922000000
cuda,27,0,cpu_gpu_transfer,21345.858000000
cuda,27,0,gpu_cpu_transfer,103.697000000
cuda,27,0,gpu_compute,629299.455000000
cuda,27,0,application_total,664070.799000000
cuda,28,0,compilation,8425.673000000
cuda,28,0,model_setup,335.163000000
cuda,28,0,batch_loading,42754.780000000
cuda,28,0,training_total,652514.594000000
cuda,28,0,epoch_average,6525.145940000
cuda,28,0,batch_average,24.200688885
cuda,28,0,prediction_total,2077.464000000
cuda,28,0,cpu_gpu_transfer,20786.933000000
cuda,28,0,gpu_cpu_transfer,71.261000000
cuda,28,0,gpu_compute,629511.863000000
cuda,28,0,application_total,663033.180000000
cuda,29,0,compilation,8254.315000000
cuda,29,0,model_setup,337.802000000
cuda,29,0,batch_loading,48539.117000000
cuda,29,0,training_total,654279.242000000
cuda,29,0,epoch_average,6542.792420000
cuda,29,0,batch_average,24.259391524
cuda,29,0,prediction_total,2212.342000000
cuda,29,0,cpu_gpu_transfer,23419.028000000
cuda,29,0,gpu_cpu_transfer,98.734000000
cuda,29,0,gpu_compute,628493.177000000
cuda,29,0,application_total,664822.920000000
cuda,30,0,compilation,8410.647000000
cuda,30,0,model_setup,342.881000000
cuda,30,0,batch_loading,46238.148000000
cuda,30,0,training_total,658944.915000000
cuda,30,0,epoch_average,6589.449150000
cuda,30,0,batch_average,24.438670967
cuda,30,0,prediction_total,2201.821000000
cuda,30,0,cpu_gpu_transfer,29634.000000000
cuda,30,0,gpu_cpu_transfer,74.548000000
cuda,30,0,gpu_compute,627299.619000000
cuda,30,0,application_total,669869.977000000
cuda,31,0,compilation,8592.892000000
cuda,31,0,model_setup,314.345000000
cuda,31,0,batch_loading,49374.070000000
cuda,31,0,training_total,661362.203000000
cuda,31,0,epoch_average,6613.622030000
cuda,31,0,batch_average,24.529074312
cuda,31,0,prediction_total,2269.978000000
cuda,31,0,cpu_gpu_transfer,32610.798000000
cuda,31,0,gpu_cpu_transfer,76.953000000
cuda,31,0,gpu_compute,626648.430000000
cuda,31,0,application_total,672180.862000000
cuda,32,0,compilation,8363.383000000
cuda,32,0,model_setup,332.335000000
cuda,32,0,batch_loading,47988.476000000
cuda,32,0,training_total,653742.943000000
cuda,32,0,epoch_average,6537.429430000
cuda,32,0,batch_average,24.238886803
cuda,32,0,prediction_total,2144.686000000
cuda,32,0,cpu_gpu_transfer,22186.602000000
cuda,32,0,gpu_cpu_transfer,106.020000000
cuda,32,0,gpu_compute,629091.667000000
cuda,32,0,application_total,664132.681000000
cuda,33,0,compilation,8543.440000000
cuda,33,0,model_setup,316.538000000
cuda,33,0,batch_loading,41157.383000000
cuda,33,0,training_total,652370.859000000
cuda,33,0,epoch_average,6523.708590000
cuda,33,0,batch_average,24.204910855
cuda,33,0,prediction_total,2027.437000000
cuda,33,0,cpu_gpu_transfer,21091.557000000
cuda,33,0,gpu_cpu_transfer,72.305000000
cuda,33,0,gpu_compute,629916.814000000
cuda,33,0,application_total,662111.321000000
cuda,34,0,compilation,8443.682000000
cuda,34,0,model_setup,372.378000000
cuda,34,0,batch_loading,47688.646000000
cuda,34,0,training_total,653759.877000000
cuda,34,0,epoch_average,6537.598770000
cuda,34,0,batch_average,24.236645019
cuda,34,0,prediction_total,2155.118000000
cuda,34,0,cpu_gpu_transfer,21507.076000000
cuda,34,0,gpu_cpu_transfer,100.931000000
cuda,34,0,gpu_compute,629233.878000000
cuda,34,0,application_total,664168.031000000
cuda,35,0,compilation,8518.061000000
cuda,35,0,model_setup,318.356000000
cuda,35,0,batch_loading,43222.785000000
cuda,35,0,training_total,652267.433000000
cuda,35,0,epoch_average,6522.674330000
cuda,35,0,batch_average,24.194300781
cuda,35,0,prediction_total,2150.313000000
cuda,35,0,cpu_gpu_transfer,21111.763000000
cuda,35,0,gpu_cpu_transfer,72.075000000
cuda,35,0,gpu_compute,629330.645000000
cuda,35,0,application_total,663172.945000000
cuda,36,0,compilation,8384.851000000
cuda,36,0,model_setup,336.414000000
cuda,36,0,batch_loading,47584.956000000
cuda,36,0,training_total,652979.097000000
cuda,36,0,epoch_average,6529.790970000
cuda,36,0,batch_average,24.209626654
cuda,36,0,prediction_total,2240.249000000
cuda,36,0,cpu_gpu_transfer,21246.402000000
cuda,36,0,gpu_cpu_transfer,108.043000000
cuda,36,0,gpu_compute,629241.594000000
cuda,36,0,application_total,663391.251000000
cuda,37,0,compilation,12496.085000000
cuda,37,0,model_setup,332.549000000
cuda,37,0,batch_loading,47547.863000000
cuda,37,0,training_total,653567.861000000
cuda,37,0,epoch_average,6535.678610000
cuda,37,0,batch_average,24.231478327
cuda,37,0,prediction_total,2205.082000000
cuda,37,0,cpu_gpu_transfer,21408.548000000
cuda,37,0,gpu_cpu_transfer,104.287000000
cuda,37,0,gpu_compute,629639.816000000
cuda,37,0,application_total,664181.993000000
cuda,38,0,compilation,8261.664000000
cuda,38,0,model_setup,332.180000000
cuda,38,0,batch_loading,48530.379000000
cuda,38,0,training_total,657420.290000000
